,Suburb,Rooms,Type,Price,Distance,Postcode,Bedroom2,Bathroom,Car,YearBuilt,CouncilArea,Regionname,Lattitude,Longtitude,BuildingArea,zipcode_int,airbnb_price_mean,airbnb_record_count
12,Abbotsford,2,u,750000.0,2.5,3067.0,2.0,2.0,1.0,2009.0,Yarra,Northern Metropolitan,-37.8078,144.9965,94.0,3067.0,130.62403100775194,258.0
13,Abbotsford,2,h,1172500.0,2.5,3067.0,2.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.8084,144.9973,,3067.0,130.62403100775194,258.0
14,Abbotsford,1,u,441000.0,2.5,3067.0,1.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.8016,144.9988,,3067.0,130.62403100775194,258.0
15,Abbotsford,2,h,1310000.0,2.5,3067.0,2.0,1.0,2.0,1890.0,Yarra,Northern Metropolitan,-37.809,144.9976,97.0,3067.0,130.62403100775194,258.0
16,Abbotsford,3,h,1200000.0,2.5,3067.0,3.0,2.0,1.0,1880.0,Yarra,Northern Metropolitan,-37.8056,144.993,110.0,3067.0,130.62403100775194,258.0
17,Abbotsford,3,h,1176500.0,2.5,3067.0,2.0,1.0,1.0,1890.0,Yarra,Northern Metropolitan,-37.8021,144.9965,105.0,3067.0,130.62403100775194,258.0
18,Abbotsford,3,h,955000.0,2.5,3067.0,3.0,1.0,0.0,,Yarra,Northern Metropolitan,-37.8022,144.9975,,3067.0,130.62403100775194,258.0
19,Abbotsford,2,h,890000.0,2.5,3067.0,2.0,1.0,1.0,1985.0,Yarra,Northern Metropolitan,-37.8011,145.0004,73.0,3067.0,130.62403100775194,258.0
20,Abbotsford,4,h,1330000.0,2.5,3067.0,4.0,2.0,2.0,1900.0,Yarra,Northern Metropolitan,-37.8073,144.9952,135.0,3067.0,130.62403100775194,258.0
21,Abbotsford,3,t,900000.0,2.5,3067.0,3.0,2.0,2.0,2010.0,Yarra,Northern Metropolitan,-37.8093,144.9959,,3067.0,130.62403100775194,258.0
22,Abbotsford,3,u,1090000.0,2.5,3067.0,3.0,2.0,2.0,,Yarra,Northern Metropolitan,-37.8078,144.9965,27.0,3067.0,130.62403100775194,258.0
23,Abbotsford,2,u,500000.0,2.5,3067.0,2.0,1.0,1.0,1970.0,Yarra,Northern Metropolitan,-37.8015,144.9972,60.0,3067.0,130.62403100775194,258.0
24,Abbotsford,2,h,1100000.0,2.5,3067.0,2.0,2.0,1.0,2013.0,Yarra,Northern Metropolitan,-37.8079,144.9977,135.0,3067.0,130.62403100775194,258.0
25,Abbotsford,2,h,1315000.0,2.5,3067.0,2.0,1.0,0.0,1900.0,Yarra,Northern Metropolitan,-37.808,144.994,85.0,3067.0,130.62403100775194,258.0
26,Abbotsford,1,u,426000.0,2.5,3067.0,1.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.8016,144.9988,,3067.0,130.62403100775194,258.0
27,Abbotsford,3,h,1447500.0,2.5,3067.0,3.0,3.0,1.0,2012.0,Yarra,Northern Metropolitan,-37.8017,145.0001,174.0,3067.0,130.62403100775194,258.0
28,Abbotsford,1,u,457000.0,2.5,3067.0,1.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.8078,144.9965,50.0,3067.0,130.62403100775194,258.0
29,Abbotsford,2,h,1135000.0,2.5,3067.0,2.0,2.0,2.0,1920.0,Yarra,Northern Metropolitan,-37.8005,144.9952,128.0,3067.0,130.62403100775194,258.0
30,Abbotsford,4,h,1542000.0,2.5,3067.0,4.0,3.0,1.0,,Yarra,Northern Metropolitan,-37.7994,144.9965,,3067.0,130.62403100775194,258.0
31,Abbotsford,3,h,1290000.0,2.5,3067.0,3.0,2.0,2.0,,Yarra,Northern Metropolitan,-37.805,144.9943,18.0,3067.0,130.62403100775194,258.0
32,Abbotsford,3,h,1290000.0,2.5,3067.0,3.0,1.0,1.0,1950.0,Yarra,Northern Metropolitan,-37.8007,144.9958,124.0,3067.0,130.62403100775194,258.0
33,Abbotsford,1,u,470000.0,2.5,3067.0,1.0,1.0,1.0,2013.0,Yarra,Northern Metropolitan,-37.8055,144.9961,50.0,3067.0,130.62403100775194,258.0
34,Abbotsford,2,h,1180000.0,2.5,3067.0,2.0,1.0,0.0,1900.0,Yarra,Northern Metropolitan,-37.8016,144.9956,91.0,3067.0,130.62403100775194,258.0
35,Abbotsford,3,h,1195000.0,2.5,3067.0,3.0,2.0,1.0,1998.0,Yarra,Northern Metropolitan,-37.8022,144.9954,128.0,3067.0,130.62403100775194,258.0
36,Abbotsford,2,h,1012500.0,2.5,3067.0,2.0,1.0,0.0,1900.0,Yarra,Northern Metropolitan,-37.8021,144.9976,82.0,3067.0,130.62403100775194,258.0
37,Abbotsford,2,h,1030000.0,2.5,3067.0,2.0,1.0,1.0,1930.0,Yarra,Northern Metropolitan,-37.8086,144.9946,81.0,3067.0,130.62403100775194,258.0
38,Airport West,3,t,840000.0,13.5,3042.0,3.0,2.0,1.0,2016.0,Moonee Valley,Western Metropolitan,-37.718,144.878,225.0,3042.0,81.57142857142857,35.0
39,Airport West,3,h,730000.0,13.5,3042.0,3.0,2.0,1.0,1965.0,Moonee Valley,Western Metropolitan,-37.7203,144.8755,145.0,3042.0,81.57142857142857,35.0
40,Airport West,3,h,770000.0,13.5,3042.0,3.0,2.0,1.0,1965.0,Moonee Valley,Western Metropolitan,-37.7203,144.8755,145.0,3042.0,81.57142857142857,35.0
41,Airport West,2,h,603000.0,13.5,3042.0,2.0,1.0,1.0,1950.0,Moonee Valley,Western Metropolitan,-37.7294,144.888,84.0,3042.0,81.57142857142857,35.0
42,Airport West,3,t,700000.0,13.5,3042.0,3.0,2.0,2.0,2009.0,Moonee Valley,Western Metropolitan,-37.7218,144.8837,134.0,3042.0,81.57142857142857,35.0
43,Airport West,3,h,600000.0,13.5,3042.0,2.0,1.0,1.0,1980.0,Moonee Valley,Western Metropolitan,-37.7273,144.8744,116.0,3042.0,81.57142857142857,35.0
44,Airport West,2,u,500000.0,13.5,3042.0,2.0,1.0,1.0,2011.0,Moonee Valley,Western Metropolitan,-37.7215,144.8864,86.0,3042.0,81.57142857142857,35.0
45,Airport West,3,h,720000.0,13.5,3042.0,2.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.7173,144.8872,,3042.0,81.57142857142857,35.0
46,Airport West,4,h,785000.0,13.5,3042.0,3.0,1.0,2.0,,Moonee Valley,Western Metropolitan,-37.7259,144.8792,127.0,3042.0,81.57142857142857,35.0
47,Airport West,6,h,725000.0,13.5,3042.0,6.0,3.0,2.0,1980.0,Moonee Valley,Western Metropolitan,-37.7239,144.8735,186.0,3042.0,81.57142857142857,35.0
48,Airport West,2,t,450000.0,13.5,3042.0,2.0,1.0,1.0,2015.0,Moonee Valley,Western Metropolitan,-37.7216,144.871,90.0,3042.0,81.57142857142857,35.0
49,Airport West,2,u,515000.0,13.5,3042.0,2.0,1.0,1.0,2013.0,Moonee Valley,Western Metropolitan,-37.7298,144.8883,73.0,3042.0,81.57142857142857,35.0
50,Airport West,2,u,530000.0,13.5,3042.0,2.0,1.0,1.0,2012.0,Moonee Valley,Western Metropolitan,-37.7234,144.8792,94.0,3042.0,81.57142857142857,35.0
51,Airport West,3,h,895000.0,13.5,3042.0,3.0,1.0,6.0,1975.0,Moonee Valley,Western Metropolitan,-37.7249,144.8728,133.0,3042.0,81.57142857142857,35.0
52,Airport West,3,h,805000.0,13.5,3042.0,3.0,1.0,1.0,1950.0,Moonee Valley,Western Metropolitan,-37.7217,144.8783,105.0,3042.0,81.57142857142857,35.0
53,Airport West,3,u,752000.0,13.5,3042.0,3.0,1.0,1.0,1993.0,Moonee Valley,Western Metropolitan,-37.7302,144.8855,130.0,3042.0,81.57142857142857,35.0
54,Airport West,2,u,440000.0,13.5,3042.0,2.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.7177,144.8787,,3042.0,81.57142857142857,35.0
55,Airport West,5,h,755000.0,13.5,3042.0,3.0,2.0,2.0,,Moonee Valley,Western Metropolitan,-37.7248,144.8699,,3042.0,81.57142857142857,35.0
56,Airport West,3,t,700000.0,13.5,3042.0,3.0,2.0,2.0,2009.0,Moonee Valley,Western Metropolitan,-37.727,144.887,133.0,3042.0,81.57142857142857,35.0
57,Airport West,3,h,830000.0,13.5,3042.0,3.0,1.0,2.0,1960.0,Moonee Valley,Western Metropolitan,-37.7186,144.876,113.0,3042.0,81.57142857142857,35.0
58,Airport West,2,u,462500.0,13.5,3042.0,2.0,1.0,1.0,2003.0,Moonee Valley,Western Metropolitan,-37.7218,144.8863,,3042.0,81.57142857142857,35.0
59,Airport West,3,h,670000.0,13.5,3042.0,3.0,2.0,2.0,,Moonee Valley,Western Metropolitan,-37.7269,144.8742,,3042.0,81.57142857142857,35.0
60,Airport West,2,h,675000.0,13.5,3042.0,2.0,1.0,1.0,1975.0,Moonee Valley,Western Metropolitan,-37.7187,144.8765,100.0,3042.0,81.57142857142857,35.0
61,Airport West,3,h,1042000.0,13.5,3042.0,3.0,2.0,5.0,1950.0,Moonee Valley,Western Metropolitan,-37.7173,144.8796,174.0,3042.0,81.57142857142857,35.0
62,Airport West,3,h,910000.0,13.5,3042.0,3.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.7231,144.8835,,3042.0,81.57142857142857,35.0
63,Airport West,4,h,773000.0,13.5,3042.0,5.0,3.0,4.0,1980.0,Moonee Valley,Western Metropolitan,-37.7263,144.8679,309.0,3042.0,81.57142857142857,35.0
64,Airport West,3,h,810000.0,13.5,3042.0,3.0,3.0,2.0,1980.0,Moonee Valley,Western Metropolitan,-37.7285,144.8694,192.0,3042.0,81.57142857142857,35.0
65,Airport West,3,h,715000.0,13.5,3042.0,3.0,2.0,2.0,1995.0,Moonee Valley,Western Metropolitan,-37.7164,144.8792,126.0,3042.0,81.57142857142857,35.0
66,Airport West,3,h,790000.0,13.5,3042.0,3.0,1.0,3.0,,Moonee Valley,Western Metropolitan,-37.7194,144.8827,,3042.0,81.57142857142857,35.0
67,Airport West,3,t,540000.0,13.5,3042.0,2.0,2.0,1.0,2010.0,Moonee Valley,Western Metropolitan,-37.7231,144.8802,101.0,3042.0,81.57142857142857,35.0
68,Airport West,3,t,825000.0,13.5,3042.0,3.0,2.0,1.0,1960.0,Moonee Valley,Western Metropolitan,-37.72,144.8776,102.0,3042.0,81.57142857142857,35.0
69,Airport West,3,h,685000.0,13.5,3042.0,3.0,1.0,1.0,1975.0,Moonee Valley,Western Metropolitan,-37.7226,144.8733,113.0,3042.0,81.57142857142857,35.0
70,Airport West,3,h,805000.0,13.5,3042.0,3.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.7184,144.882,,3042.0,81.57142857142857,35.0
71,Airport West,2,u,510000.0,13.5,3042.0,2.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.7202,144.8797,76.0,3042.0,81.57142857142857,35.0
72,Airport West,3,h,612000.0,13.5,3042.0,3.0,2.0,1.0,,Moonee Valley,Western Metropolitan,-37.7181,144.8824,,3042.0,81.57142857142857,35.0
73,Airport West,3,h,662000.0,13.5,3042.0,3.0,1.0,2.0,,Moonee Valley,Western Metropolitan,-37.7169,144.8815,,3042.0,81.57142857142857,35.0
74,Airport West,4,h,978000.0,13.5,3042.0,4.0,3.0,2.0,,Moonee Valley,Western Metropolitan,-37.7263,144.869,,3042.0,81.57142857142857,35.0
75,Airport West,3,h,720000.0,13.5,3042.0,3.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.72,144.878,,3042.0,81.57142857142857,35.0
76,Airport West,4,h,765000.0,13.5,3042.0,4.0,1.0,2.0,,Moonee Valley,Western Metropolitan,-37.7261,144.8785,,3042.0,81.57142857142857,35.0
77,Airport West,4,h,900000.0,13.5,3042.0,4.0,2.0,3.0,1975.0,Moonee Valley,Western Metropolitan,-37.7256,144.8739,146.0,3042.0,81.57142857142857,35.0
78,Albert Park,2,h,1275000.0,3.3,3206.0,2.0,1.0,0.0,1900.0,Port Phillip,Southern Metropolitan,-37.8459,144.9555,82.0,3206.0,229.41803278688525,122.0
79,Albert Park,2,h,1455000.0,3.3,3206.0,2.0,1.0,0.0,,Port Phillip,Southern Metropolitan,-37.845,144.9538,,3206.0,229.41803278688525,122.0
80,Albert Park,3,h,2850000.0,3.3,3206.0,3.0,2.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8481,144.9499,198.0,3206.0,229.41803278688525,122.0
81,Albert Park,3,h,1850000.0,3.3,3206.0,3.0,2.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8452,144.9488,133.0,3206.0,229.41803278688525,122.0
82,Albert Park,2,h,1436000.0,3.3,3206.0,2.0,1.0,0.0,1900.0,Port Phillip,Southern Metropolitan,-37.8431,144.9565,81.0,3206.0,229.41803278688525,122.0
83,Albert Park,2,h,1110000.0,3.3,3206.0,1.0,1.0,0.0,1900.0,Port Phillip,Southern Metropolitan,-37.8444,144.9484,,3206.0,229.41803278688525,122.0
84,Albert Park,2,h,1550000.0,3.3,3206.0,2.0,1.0,1.0,,Port Phillip,Southern Metropolitan,-37.8405,144.9521,,3206.0,229.41803278688525,122.0
85,Albert Park,4,h,2300000.0,3.3,3206.0,4.0,2.0,1.0,1880.0,Port Phillip,Southern Metropolitan,-37.8447,144.9523,180.0,3206.0,229.41803278688525,122.0
86,Albert Park,3,t,1550000.0,3.3,3206.0,3.0,2.0,2.0,,Port Phillip,Southern Metropolitan,-37.8443,144.9598,,3206.0,229.41803278688525,122.0
87,Albert Park,3,h,1800000.0,3.3,3206.0,3.0,2.0,1.0,1996.0,Port Phillip,Southern Metropolitan,-37.8415,144.952,159.0,3206.0,229.41803278688525,122.0
88,Albert Park,2,h,2120000.0,3.3,3206.0,2.0,1.0,1.0,1900.0,Port Phillip,Southern Metropolitan,-37.8422,144.9554,107.0,3206.0,229.41803278688525,122.0
89,Albert Park,3,h,1800000.0,3.3,3206.0,3.0,1.0,1.0,,Port Phillip,Southern Metropolitan,-37.8443,144.9579,,3206.0,229.41803278688525,122.0
90,Albert Park,3,h,1800000.0,3.3,3206.0,3.0,2.0,1.0,1900.0,Port Phillip,Southern Metropolitan,-37.8421,144.9571,122.0,3206.0,229.41803278688525,122.0
91,Albert Park,2,h,1810000.0,3.3,3206.0,2.0,1.0,0.0,,Port Phillip,Southern Metropolitan,-37.8379,144.9539,,3206.0,229.41803278688525,122.0
92,Albert Park,3,h,2615000.0,3.3,3206.0,3.0,2.0,1.0,1880.0,Port Phillip,Southern Metropolitan,-37.8415,144.9585,181.0,3206.0,229.41803278688525,122.0
93,Albert Park,5,h,2100000.0,3.3,3206.0,5.0,2.0,1.0,,Port Phillip,Southern Metropolitan,-37.8436,144.9557,,3206.0,229.41803278688525,122.0
94,Albert Park,3,h,1300000.0,3.3,3206.0,3.0,1.0,0.0,,Port Phillip,Southern Metropolitan,-37.8422,144.94899999999996,,3206.0,229.41803278688525,122.0
95,Albert Park,3,h,1370000.0,3.3,3206.0,3.0,2.0,2.0,2000.0,Port Phillip,Southern Metropolitan,-37.8451,144.9511,85.0,3206.0,229.41803278688525,122.0
96,Albert Park,2,h,1000000.0,3.3,3206.0,2.0,1.0,0.0,,Port Phillip,Southern Metropolitan,-37.8407,144.9523,,3206.0,229.41803278688525,122.0
97,Albert Park,3,h,2575000.0,3.3,3206.0,3.0,2.0,1.0,,Port Phillip,Southern Metropolitan,-37.8445,144.9501,,3206.0,229.41803278688525,122.0
98,Albert Park,2,h,1322500.0,3.3,3206.0,2.0,1.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8443,144.9481,98.0,3206.0,229.41803278688525,122.0
99,Albert Park,2,h,1562500.0,3.3,3206.0,2.0,1.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8424,144.9562,83.0,3206.0,229.41803278688525,122.0
100,Albert Park,3,h,2000000.0,3.3,3206.0,3.0,2.0,1.0,1900.0,Port Phillip,Southern Metropolitan,-37.847,144.9575,147.0,3206.0,229.41803278688525,122.0
101,Albert Park,3,h,1900000.0,3.3,3206.0,3.0,1.0,0.0,1900.0,Port Phillip,Southern Metropolitan,-37.8468,144.9546,,3206.0,229.41803278688525,122.0
102,Albert Park,3,h,3010000.0,3.3,3206.0,3.0,2.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8473,144.9551,146.0,3206.0,229.41803278688525,122.0
103,Albert Park,4,h,2800000.0,3.3,3206.0,4.0,3.0,1.0,1910.0,Port Phillip,Southern Metropolitan,-37.8467,144.9475,254.0,3206.0,229.41803278688525,122.0
104,Albert Park,2,u,647000.0,3.3,3206.0,2.0,1.0,1.0,,Port Phillip,Southern Metropolitan,-37.846,144.9542,,3206.0,229.41803278688525,122.0
105,Albert Park,3,h,2100000.0,3.3,3206.0,2.0,1.0,1.0,1900.0,Port Phillip,Southern Metropolitan,-37.8427,144.9546,123.0,3206.0,229.41803278688525,122.0
106,Albert Park,3,h,2000000.0,3.3,3206.0,3.0,1.0,1.0,1890.0,Port Phillip,Southern Metropolitan,-37.8461,144.9528,131.0,3206.0,229.41803278688525,122.0
107,Albert Park,1,u,442500.0,3.3,3206.0,1.0,1.0,0.0,1970.0,Port Phillip,Southern Metropolitan,-37.8421,144.9517,34.0,3206.0,229.41803278688525,122.0
108,Albert Park,2,h,1340000.0,3.3,3206.0,2.0,1.0,0.0,,Port Phillip,Southern Metropolitan,-37.846,144.9517,,3206.0,229.41803278688525,122.0
109,Albert Park,3,h,1801000.0,3.3,3206.0,3.0,1.0,1.0,,Port Phillip,Southern Metropolitan,-37.8429,144.9493,,3206.0,229.41803278688525,122.0
110,Albert Park,3,h,1532000.0,3.3,3206.0,3.0,3.0,1.0,,Port Phillip,Southern Metropolitan,-37.8415,144.9585,,3206.0,229.41803278688525,122.0
111,Albert Park,4,h,2140000.0,3.3,3206.0,3.0,2.0,1.0,1880.0,Port Phillip,Southern Metropolitan,-37.8434,144.9495,145.0,3206.0,229.41803278688525,122.0
112,Albert Park,2,h,1750000.0,3.3,3206.0,2.0,1.0,1.0,,Port Phillip,Southern Metropolitan,-37.8416,144.9488,,3206.0,229.41803278688525,122.0
113,Albert Park,2,h,980000.0,3.3,3206.0,2.0,1.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8387,144.9519,68.0,3206.0,229.41803278688525,122.0
114,Albert Park,3,h,2030000.0,3.3,3206.0,3.0,2.0,0.0,,Port Phillip,Southern Metropolitan,-37.8488,144.9551,,3206.0,229.41803278688525,122.0
115,Albert Park,3,h,1740000.0,3.3,3206.0,3.0,2.0,2.0,1890.0,Port Phillip,Southern Metropolitan,-37.8448,144.9453,134.0,3206.0,229.41803278688525,122.0
116,Albert Park,3,h,2800000.0,3.3,3206.0,3.0,3.0,1.0,,Port Phillip,Southern Metropolitan,-37.8399,144.9577,,3206.0,229.41803278688525,122.0
117,Albert Park,1,h,985000.0,3.3,3206.0,1.0,1.0,0.0,1900.0,Port Phillip,Southern Metropolitan,-37.8411,144.9497,54.0,3206.0,229.41803278688525,122.0
118,Alphington,4,h,2000000.0,6.4,3078.0,3.0,2.0,4.0,1930.0,Darebin,Northern Metropolitan,-37.7707,145.0318,263.0,3078.0,111.20270270270271,74.0
119,Alphington,3,h,1110000.0,6.4,3078.0,3.0,2.0,2.0,2013.0,Yarra,Northern Metropolitan,-37.7854,145.0325,,3078.0,111.20270270270271,74.0
120,Alphington,3,h,1492000.0,6.4,3078.0,3.0,2.0,2.0,,Darebin,Northern Metropolitan,-37.7713,145.0279,,3078.0,111.20270270270271,74.0
121,Alphington,4,h,1717500.0,6.4,3078.0,4.0,2.0,1.0,1925.0,Darebin,Northern Metropolitan,-37.7717,145.031,203.0,3078.0,111.20270270270271,74.0
122,Alphington,5,h,2840000.0,6.4,3078.0,5.0,4.0,4.0,1910.0,Darebin,Northern Metropolitan,-37.775,145.0268,165.0,3078.0,111.20270270270271,74.0
123,Alphington,2,u,525500.0,6.4,3078.0,2.0,1.0,1.0,1960.0,Darebin,Northern Metropolitan,-37.7791,145.0306,60.0,3078.0,111.20270270270271,74.0
124,Alphington,2,t,805000.0,6.4,3078.0,2.0,2.0,3.0,2004.0,Darebin,Northern Metropolitan,-37.7804,145.0308,140.0,3078.0,111.20270270270271,74.0
125,Alphington,2,u,465000.0,6.4,3078.0,2.0,1.0,1.0,,Darebin,Northern Metropolitan,-37.7773,145.0314,,3078.0,111.20270270270271,74.0
126,Alphington,3,h,2000000.0,6.4,3078.0,3.0,3.0,2.0,,Darebin,Northern Metropolitan,-37.78,145.0341,,3078.0,111.20270270270271,74.0
127,Alphington,3,h,1540000.0,6.4,3078.0,3.0,1.0,2.0,,Darebin,Northern Metropolitan,-37.7755,145.0288,,3078.0,111.20270270270271,74.0
128,Alphington,2,u,820000.0,6.4,3078.0,2.0,1.0,1.0,,Darebin,Northern Metropolitan,-37.7747,145.0264,,3078.0,111.20270270270271,74.0
129,Alphington,4,h,1830000.0,6.4,3078.0,4.0,2.0,2.0,1970.0,Darebin,Northern Metropolitan,-37.7743,145.0316,112.0,3078.0,111.20270270270271,74.0
130,Alphington,4,h,2100000.0,6.4,3078.0,4.0,2.0,2.0,2008.0,Darebin,Northern Metropolitan,-37.7723,145.0319,271.0,3078.0,111.20270270270271,74.0
131,Alphington,3,h,865000.0,6.4,3078.0,3.0,1.0,1.0,2010.0,Darebin,Northern Metropolitan,-37.7802,145.0243,131.0,3078.0,111.20270270270271,74.0
132,Alphington,2,u,390000.0,6.4,3078.0,2.0,1.0,1.0,1960.0,Darebin,Northern Metropolitan,-37.7773,145.0314,60.0,3078.0,111.20270270270271,74.0
133,Alphington,2,t,650000.0,6.4,3078.0,0.0,1.0,0.0,,Yarra,Northern Metropolitan,-37.7848,145.025,,3078.0,111.20270270270271,74.0
134,Alphington,2,u,512000.0,6.4,3078.0,2.0,1.0,1.0,1965.0,Darebin,Northern Metropolitan,-37.7805,145.0262,61.0,3078.0,111.20270270270271,74.0
135,Alphington,3,h,1165000.0,6.4,3078.0,3.0,1.0,2.0,,Yarra,Northern Metropolitan,-37.7792,145.029,,3078.0,111.20270270270271,74.0
136,Alphington,4,h,1900000.0,6.4,3078.0,4.0,2.0,2.0,1930.0,Yarra,Northern Metropolitan,-37.7844,145.0225,272.0,3078.0,111.20270270270271,74.0
137,Alphington,3,h,1485000.0,6.4,3078.0,3.0,0.0,0.0,,Darebin,Northern Metropolitan,-37.7781,145.0284,,3078.0,111.20270270270271,74.0
138,Alphington,4,h,1950000.0,6.4,3078.0,4.0,2.0,3.0,1920.0,Darebin,Northern Metropolitan,-37.7719,145.0309,210.0,3078.0,111.20270270270271,74.0
139,Altona,3,h,520000.0,13.8,3018.0,3.0,2.0,1.0,2015.0,Hobsons Bay,Western Metropolitan,-37.87,144.825,242.0,3018.0,85.62162162162163,37.0
140,Altona,5,h,1525000.0,13.8,3018.0,5.0,3.0,3.0,2005.0,Hobsons Bay,Western Metropolitan,-37.8721,144.8105,268.0,3018.0,85.62162162162163,37.0
141,Altona,2,t,720000.0,13.8,3018.0,2.0,1.0,2.0,2013.0,Hobsons Bay,Western Metropolitan,-37.8687,144.8197,125.0,3018.0,85.62162162162163,37.0
142,Altona,3,h,1120000.0,13.8,3018.0,3.0,1.0,2.0,1930.0,Hobsons Bay,Western Metropolitan,-37.8693,144.8375,120.0,3018.0,85.62162162162163,37.0
143,Altona,4,h,780000.0,13.8,3018.0,4.0,1.0,4.0,,Hobsons Bay,Western Metropolitan,-37.868,144.8154,,3018.0,85.62162162162163,37.0
144,Altona,4,h,1780000.0,13.8,3018.0,4.0,3.0,6.0,1962.0,Hobsons Bay,Western Metropolitan,-37.8681,144.819,220.0,3018.0,85.62162162162163,37.0
145,Altona,3,u,630000.0,13.8,3018.0,2.0,1.0,2.0,1955.0,Hobsons Bay,Western Metropolitan,-37.8702,144.8143,94.0,3018.0,85.62162162162163,37.0
146,Altona,2,u,406000.0,13.8,3018.0,2.0,1.0,1.0,,Hobsons Bay,Western Metropolitan,-37.8693,144.8171,,3018.0,85.62162162162163,37.0
147,Altona,3,h,660000.0,13.8,3018.0,3.0,1.0,1.0,1955.0,Hobsons Bay,Western Metropolitan,-37.8616,144.8116,123.0,3018.0,85.62162162162163,37.0
148,Altona,3,h,683500.0,13.8,3018.0,3.0,1.0,1.0,,Hobsons Bay,Western Metropolitan,-37.8594,144.817,,3018.0,85.62162162162163,37.0
149,Altona,2,u,580000.0,13.8,3018.0,2.0,1.0,1.0,1988.0,Hobsons Bay,Western Metropolitan,-37.8696,144.827,93.0,3018.0,85.62162162162163,37.0
150,Altona,3,h,1335000.0,13.8,3018.0,3.0,1.0,4.0,1953.0,Hobsons Bay,Western Metropolitan,-37.8697,144.8249,22.0,3018.0,85.62162162162163,37.0
151,Altona,3,t,800000.0,13.8,3018.0,3.0,2.0,2.0,1997.0,Hobsons Bay,Western Metropolitan,-37.8734,144.8143,,3018.0,85.62162162162163,37.0
152,Altona,2,u,510000.0,13.8,3018.0,2.0,1.0,1.0,1990.0,Hobsons Bay,Western Metropolitan,-37.8686,144.8182,76.0,3018.0,85.62162162162163,37.0
153,Altona,4,h,1070000.0,13.8,3018.0,4.0,2.0,2.0,,Hobsons Bay,Western Metropolitan,-37.8733,144.8147,,3018.0,85.62162162162163,37.0
154,Altona,2,u,425000.0,13.8,3018.0,2.0,1.0,2.0,1980.0,Hobsons Bay,Western Metropolitan,-37.871,144.8185,57.0,3018.0,85.62162162162163,37.0
