,Suburb,Rooms,Type,Price,Distance,Postcode,Bedroom2,Bathroom,Car,YearBuilt,CouncilArea,Regionname,Lattitude,Longtitude,BuildingArea
38,Airport West,3,t,840000.0,13.5,3042.0,3.0,2.0,1.0,2016.0,Moonee Valley,Western Metropolitan,-37.718,144.878,225.0
39,Airport West,3,h,730000.0,13.5,3042.0,3.0,2.0,1.0,1965.0,Moonee Valley,Western Metropolitan,-37.7203,144.8755,145.0
40,Airport West,3,h,770000.0,13.5,3042.0,3.0,2.0,1.0,1965.0,Moonee Valley,Western Metropolitan,-37.7203,144.8755,145.0
41,Airport West,2,h,603000.0,13.5,3042.0,2.0,1.0,1.0,1950.0,Moonee Valley,Western Metropolitan,-37.7294,144.888,84.0
42,Airport West,3,t,700000.0,13.5,3042.0,3.0,2.0,2.0,2009.0,Moonee Valley,Western Metropolitan,-37.7218,144.8837,134.0
43,Airport West,3,h,600000.0,13.5,3042.0,2.0,1.0,1.0,1980.0,Moonee Valley,Western Metropolitan,-37.7273,144.8744,116.0
44,Airport West,2,u,500000.0,13.5,3042.0,2.0,1.0,1.0,2011.0,Moonee Valley,Western Metropolitan,-37.7215,144.8864,86.0
45,Airport West,3,h,720000.0,13.5,3042.0,2.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.7173,144.8872,
46,Airport West,4,h,785000.0,13.5,3042.0,3.0,1.0,2.0,,Moonee Valley,Western Metropolitan,-37.7259,144.8792,127.0
47,Airport West,6,h,725000.0,13.5,3042.0,6.0,3.0,2.0,1980.0,Moonee Valley,Western Metropolitan,-37.7239,144.8735,186.0
48,Airport West,2,t,450000.0,13.5,3042.0,2.0,1.0,1.0,2015.0,Moonee Valley,Western Metropolitan,-37.7216,144.871,90.0
49,Airport West,2,u,515000.0,13.5,3042.0,2.0,1.0,1.0,2013.0,Moonee Valley,Western Metropolitan,-37.7298,144.8883,73.0
50,Airport West,2,u,530000.0,13.5,3042.0,2.0,1.0,1.0,2012.0,Moonee Valley,Western Metropolitan,-37.7234,144.8792,94.0
51,Airport West,3,h,895000.0,13.5,3042.0,3.0,1.0,6.0,1975.0,Moonee Valley,Western Metropolitan,-37.7249,144.8728,133.0
52,Airport West,3,h,805000.0,13.5,3042.0,3.0,1.0,1.0,1950.0,Moonee Valley,Western Metropolitan,-37.7217,144.8783,105.0
53,Airport West,3,u,752000.0,13.5,3042.0,3.0,1.0,1.0,1993.0,Moonee Valley,Western Metropolitan,-37.7302,144.8855,130.0
54,Airport West,2,u,440000.0,13.5,3042.0,2.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.7177,144.8787,
55,Airport West,5,h,755000.0,13.5,3042.0,3.0,2.0,2.0,,Moonee Valley,Western Metropolitan,-37.7248,144.8699,
56,Airport West,3,t,700000.0,13.5,3042.0,3.0,2.0,2.0,2009.0,Moonee Valley,Western Metropolitan,-37.727,144.887,133.0
57,Airport West,3,h,830000.0,13.5,3042.0,3.0,1.0,2.0,1960.0,Moonee Valley,Western Metropolitan,-37.7186,144.876,113.0
58,Airport West,2,u,462500.0,13.5,3042.0,2.0,1.0,1.0,2003.0,Moonee Valley,Western Metropolitan,-37.7218,144.8863,
59,Airport West,3,h,670000.0,13.5,3042.0,3.0,2.0,2.0,,Moonee Valley,Western Metropolitan,-37.7269,144.8742,
60,Airport West,2,h,675000.0,13.5,3042.0,2.0,1.0,1.0,1975.0,Moonee Valley,Western Metropolitan,-37.7187,144.8765,100.0
61,Airport West,3,h,1042000.0,13.5,3042.0,3.0,2.0,5.0,1950.0,Moonee Valley,Western Metropolitan,-37.7173,144.8796,174.0
62,Airport West,3,h,910000.0,13.5,3042.0,3.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.7231,144.8835,
63,Airport West,4,h,773000.0,13.5,3042.0,5.0,3.0,4.0,1980.0,Moonee Valley,Western Metropolitan,-37.7263,144.8679,309.0
64,Airport West,3,h,810000.0,13.5,3042.0,3.0,3.0,2.0,1980.0,Moonee Valley,Western Metropolitan,-37.7285,144.8694,192.0
65,Airport West,3,h,715000.0,13.5,3042.0,3.0,2.0,2.0,1995.0,Moonee Valley,Western Metropolitan,-37.7164,144.8792,126.0
66,Airport West,3,h,790000.0,13.5,3042.0,3.0,1.0,3.0,,Moonee Valley,Western Metropolitan,-37.7194,144.8827,
67,Airport West,3,t,540000.0,13.5,3042.0,2.0,2.0,1.0,2010.0,Moonee Valley,Western Metropolitan,-37.7231,144.8802,101.0
68,Airport West,3,t,825000.0,13.5,3042.0,3.0,2.0,1.0,1960.0,Moonee Valley,Western Metropolitan,-37.72,144.8776,102.0
69,Airport West,3,h,685000.0,13.5,3042.0,3.0,1.0,1.0,1975.0,Moonee Valley,Western Metropolitan,-37.7226,144.8733,113.0
70,Airport West,3,h,805000.0,13.5,3042.0,3.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.7184,144.882,
71,Airport West,2,u,510000.0,13.5,3042.0,2.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.7202,144.8797,76.0
72,Airport West,3,h,612000.0,13.5,3042.0,3.0,2.0,1.0,,Moonee Valley,Western Metropolitan,-37.7181,144.8824,
73,Airport West,3,h,662000.0,13.5,3042.0,3.0,1.0,2.0,,Moonee Valley,Western Metropolitan,-37.7169,144.8815,
74,Airport West,4,h,978000.0,13.5,3042.0,4.0,3.0,2.0,,Moonee Valley,Western Metropolitan,-37.7263,144.869,
75,Airport West,3,h,720000.0,13.5,3042.0,3.0,1.0,1.0,,Moonee Valley,Western Metropolitan,-37.72,144.878,
76,Airport West,4,h,765000.0,13.5,3042.0,4.0,1.0,2.0,,Moonee Valley,Western Metropolitan,-37.7261,144.8785,
77,Airport West,4,h,900000.0,13.5,3042.0,4.0,2.0,3.0,1975.0,Moonee Valley,Western Metropolitan,-37.7256,144.8739,146.0
78,Albert Park,2,h,1275000.0,3.3,3206.0,2.0,1.0,0.0,1900.0,Port Phillip,Southern Metropolitan,-37.8459,144.9555,82.0
79,Albert Park,2,h,1455000.0,3.3,3206.0,2.0,1.0,0.0,,Port Phillip,Southern Metropolitan,-37.845,144.9538,
80,Albert Park,3,h,2850000.0,3.3,3206.0,3.0,2.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8481,144.9499,198.0
81,Albert Park,3,h,1850000.0,3.3,3206.0,3.0,2.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8452,144.9488,133.0
82,Albert Park,2,h,1436000.0,3.3,3206.0,2.0,1.0,0.0,1900.0,Port Phillip,Southern Metropolitan,-37.8431,144.9565,81.0
83,Albert Park,2,h,1110000.0,3.3,3206.0,1.0,1.0,0.0,1900.0,Port Phillip,Southern Metropolitan,-37.8444,144.9484,
84,Albert Park,2,h,1550000.0,3.3,3206.0,2.0,1.0,1.0,,Port Phillip,Southern Metropolitan,-37.8405,144.9521,
85,Albert Park,4,h,2300000.0,3.3,3206.0,4.0,2.0,1.0,1880.0,Port Phillip,Southern Metropolitan,-37.8447,144.9523,180.0
86,Albert Park,3,t,1550000.0,3.3,3206.0,3.0,2.0,2.0,,Port Phillip,Southern Metropolitan,-37.8443,144.9598,
87,Albert Park,3,h,1800000.0,3.3,3206.0,3.0,2.0,1.0,1996.0,Port Phillip,Southern Metropolitan,-37.8415,144.952,159.0
88,Albert Park,2,h,2120000.0,3.3,3206.0,2.0,1.0,1.0,1900.0,Port Phillip,Southern Metropolitan,-37.8422,144.9554,107.0
89,Albert Park,3,h,1800000.0,3.3,3206.0,3.0,1.0,1.0,,Port Phillip,Southern Metropolitan,-37.8443,144.9579,
90,Albert Park,3,h,1800000.0,3.3,3206.0,3.0,2.0,1.0,1900.0,Port Phillip,Southern Metropolitan,-37.8421,144.9571,122.0
91,Albert Park,2,h,1810000.0,3.3,3206.0,2.0,1.0,0.0,,Port Phillip,Southern Metropolitan,-37.8379,144.9539,
92,Albert Park,3,h,2615000.0,3.3,3206.0,3.0,2.0,1.0,1880.0,Port Phillip,Southern Metropolitan,-37.8415,144.9585,181.0
93,Albert Park,5,h,2100000.0,3.3,3206.0,5.0,2.0,1.0,,Port Phillip,Southern Metropolitan,-37.8436,144.9557,
94,Albert Park,3,h,1300000.0,3.3,3206.0,3.0,1.0,0.0,,Port Phillip,Southern Metropolitan,-37.8422,144.94899999999996,
95,Albert Park,3,h,1370000.0,3.3,3206.0,3.0,2.0,2.0,2000.0,Port Phillip,Southern Metropolitan,-37.8451,144.9511,85.0
96,Albert Park,2,h,1000000.0,3.3,3206.0,2.0,1.0,0.0,,Port Phillip,Southern Metropolitan,-37.8407,144.9523,
97,Albert Park,3,h,2575000.0,3.3,3206.0,3.0,2.0,1.0,,Port Phillip,Southern Metropolitan,-37.8445,144.9501,
98,Albert Park,2,h,1322500.0,3.3,3206.0,2.0,1.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8443,144.9481,98.0
99,Albert Park,2,h,1562500.0,3.3,3206.0,2.0,1.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8424,144.9562,83.0
100,Albert Park,3,h,2000000.0,3.3,3206.0,3.0,2.0,1.0,1900.0,Port Phillip,Southern Metropolitan,-37.847,144.9575,147.0
101,Albert Park,3,h,1900000.0,3.3,3206.0,3.0,1.0,0.0,1900.0,Port Phillip,Southern Metropolitan,-37.8468,144.9546,
102,Albert Park,3,h,3010000.0,3.3,3206.0,3.0,2.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8473,144.9551,146.0
103,Albert Park,4,h,2800000.0,3.3,3206.0,4.0,3.0,1.0,1910.0,Port Phillip,Southern Metropolitan,-37.8467,144.9475,254.0
104,Albert Park,2,u,647000.0,3.3,3206.0,2.0,1.0,1.0,,Port Phillip,Southern Metropolitan,-37.846,144.9542,
105,Albert Park,3,h,2100000.0,3.3,3206.0,2.0,1.0,1.0,1900.0,Port Phillip,Southern Metropolitan,-37.8427,144.9546,123.0
106,Albert Park,3,h,2000000.0,3.3,3206.0,3.0,1.0,1.0,1890.0,Port Phillip,Southern Metropolitan,-37.8461,144.9528,131.0
107,Albert Park,1,u,442500.0,3.3,3206.0,1.0,1.0,0.0,1970.0,Port Phillip,Southern Metropolitan,-37.8421,144.9517,34.0
109,Albert Park,2,h,1340000.0,3.3,3206.0,2.0,1.0,0.0,,Port Phillip,Southern Metropolitan,-37.846,144.9517,
110,Albert Park,3,h,1801000.0,3.3,3206.0,3.0,1.0,1.0,,Port Phillip,Southern Metropolitan,-37.8429,144.9493,
111,Albert Park,3,h,1532000.0,3.3,3206.0,3.0,3.0,1.0,,Port Phillip,Southern Metropolitan,-37.8415,144.9585,
113,Albert Park,4,h,2140000.0,3.3,3206.0,3.0,2.0,1.0,1880.0,Port Phillip,Southern Metropolitan,-37.8434,144.9495,145.0
114,Albert Park,2,h,1750000.0,3.3,3206.0,2.0,1.0,1.0,,Port Phillip,Southern Metropolitan,-37.8416,144.9488,
115,Albert Park,2,h,980000.0,3.3,3206.0,2.0,1.0,0.0,1890.0,Port Phillip,Southern Metropolitan,-37.8387,144.9519,68.0
116,Albert Park,3,h,2030000.0,3.3,3206.0,3.0,2.0,0.0,,Port Phillip,Southern Metropolitan,-37.8488,144.9551,
117,Albert Park,3,h,1740000.0,3.3,3206.0,3.0,2.0,2.0,1890.0,Port Phillip,Southern Metropolitan,-37.8448,144.9453,134.0
118,Albert Park,3,h,2800000.0,3.3,3206.0,3.0,3.0,1.0,,Port Phillip,Southern Metropolitan,-37.8399,144.9577,
119,Albert Park,1,h,985000.0,3.3,3206.0,1.0,1.0,0.0,1900.0,Port Phillip,Southern Metropolitan,-37.8411,144.9497,54.0
120,Alphington,4,h,2000000.0,6.4,3078.0,3.0,2.0,4.0,1930.0,Darebin,Northern Metropolitan,-37.7707,145.0318,263.0
121,Alphington,3,h,1110000.0,6.4,3078.0,3.0,2.0,2.0,2013.0,Yarra,Northern Metropolitan,-37.7854,145.0325,
122,Alphington,3,h,1492000.0,6.4,3078.0,3.0,2.0,2.0,,Darebin,Northern Metropolitan,-37.7713,145.0279,
123,Alphington,4,h,1717500.0,6.4,3078.0,4.0,2.0,1.0,1925.0,Darebin,Northern Metropolitan,-37.7717,145.031,203.0
124,Alphington,5,h,2840000.0,6.4,3078.0,5.0,4.0,4.0,1910.0,Darebin,Northern Metropolitan,-37.775,145.0268,165.0
125,Alphington,2,u,525500.0,6.4,3078.0,2.0,1.0,1.0,1960.0,Darebin,Northern Metropolitan,-37.7791,145.0306,60.0
126,Alphington,2,t,805000.0,6.4,3078.0,2.0,2.0,3.0,2004.0,Darebin,Northern Metropolitan,-37.7804,145.0308,140.0
127,Alphington,2,u,465000.0,6.4,3078.0,2.0,1.0,1.0,,Darebin,Northern Metropolitan,-37.7773,145.0314,
128,Alphington,3,h,2000000.0,6.4,3078.0,3.0,3.0,2.0,,Darebin,Northern Metropolitan,-37.78,145.0341,
129,Alphington,3,h,1540000.0,6.4,3078.0,3.0,1.0,2.0,,Darebin,Northern Metropolitan,-37.7755,145.0288,
130,Alphington,2,u,820000.0,6.4,3078.0,2.0,1.0,1.0,,Darebin,Northern Metropolitan,-37.7747,145.0264,
131,Alphington,4,h,1830000.0,6.4,3078.0,4.0,2.0,2.0,1970.0,Darebin,Northern Metropolitan,-37.7743,145.0316,112.0
132,Alphington,4,h,2100000.0,6.4,3078.0,4.0,2.0,2.0,2008.0,Darebin,Northern Metropolitan,-37.7723,145.0319,271.0
133,Alphington,3,h,865000.0,6.4,3078.0,3.0,1.0,1.0,2010.0,Darebin,Northern Metropolitan,-37.7802,145.0243,131.0
134,Alphington,2,u,390000.0,6.4,3078.0,2.0,1.0,1.0,1960.0,Darebin,Northern Metropolitan,-37.7773,145.0314,60.0
135,Alphington,2,t,650000.0,6.4,3078.0,0.0,1.0,0.0,,Yarra,Northern Metropolitan,-37.7848,145.025,
136,Alphington,2,u,512000.0,6.4,3078.0,2.0,1.0,1.0,1965.0,Darebin,Northern Metropolitan,-37.7805,145.0262,61.0
137,Alphington,3,h,1165000.0,6.4,3078.0,3.0,1.0,2.0,,Yarra,Northern Metropolitan,-37.7792,145.029,
138,Alphington,4,h,1900000.0,6.4,3078.0,4.0,2.0,2.0,1930.0,Yarra,Northern Metropolitan,-37.7844,145.0225,272.0
139,Alphington,3,h,1485000.0,6.4,3078.0,3.0,0.0,0.0,,Darebin,Northern Metropolitan,-37.7781,145.0284,
140,Alphington,4,h,1950000.0,6.4,3078.0,4.0,2.0,3.0,1920.0,Darebin,Northern Metropolitan,-37.7719,145.0309,210.0
141,Altona,3,h,520000.0,13.8,3018.0,3.0,2.0,1.0,2015.0,Hobsons Bay,Western Metropolitan,-37.87,144.825,242.0
142,Altona,5,h,1525000.0,13.8,3018.0,5.0,3.0,3.0,2005.0,Hobsons Bay,Western Metropolitan,-37.8721,144.8105,268.0
143,Altona,2,t,720000.0,13.8,3018.0,2.0,1.0,2.0,2013.0,Hobsons Bay,Western Metropolitan,-37.8687,144.8197,125.0
144,Altona,3,h,1120000.0,13.8,3018.0,3.0,1.0,2.0,1930.0,Hobsons Bay,Western Metropolitan,-37.8693,144.8375,120.0
145,Altona,4,h,780000.0,13.8,3018.0,4.0,1.0,4.0,,Hobsons Bay,Western Metropolitan,-37.868,144.8154,
146,Altona,4,h,1780000.0,13.8,3018.0,4.0,3.0,6.0,1962.0,Hobsons Bay,Western Metropolitan,-37.8681,144.819,220.0
147,Altona,3,u,630000.0,13.8,3018.0,2.0,1.0,2.0,1955.0,Hobsons Bay,Western Metropolitan,-37.8702,144.8143,94.0
148,Altona,2,u,406000.0,13.8,3018.0,2.0,1.0,1.0,,Hobsons Bay,Western Metropolitan,-37.8693,144.8171,
149,Altona,3,h,660000.0,13.8,3018.0,3.0,1.0,1.0,1955.0,Hobsons Bay,Western Metropolitan,-37.8616,144.8116,123.0
150,Altona,3,h,683500.0,13.8,3018.0,3.0,1.0,1.0,,Hobsons Bay,Western Metropolitan,-37.8594,144.817,
151,Altona,2,u,580000.0,13.8,3018.0,2.0,1.0,1.0,1988.0,Hobsons Bay,Western Metropolitan,-37.8696,144.827,93.0
152,Altona,3,h,1335000.0,13.8,3018.0,3.0,1.0,4.0,1953.0,Hobsons Bay,Western Metropolitan,-37.8697,144.8249,22.0
153,Altona,3,t,800000.0,13.8,3018.0,3.0,2.0,2.0,1997.0,Hobsons Bay,Western Metropolitan,-37.8734,144.8143,
154,Altona,2,u,510000.0,13.8,3018.0,2.0,1.0,1.0,1990.0,Hobsons Bay,Western Metropolitan,-37.8686,144.8182,76.0
155,Altona,4,h,1070000.0,13.8,3018.0,4.0,2.0,2.0,,Hobsons Bay,Western Metropolitan,-37.8733,144.8147,
156,Altona,2,u,425000.0,13.8,3018.0,2.0,1.0,2.0,1980.0,Hobsons Bay,Western Metropolitan,-37.871,144.8185,57.0
157,Altona,3,u,605000.0,13.8,3018.0,3.0,2.0,2.0,,Hobsons Bay,Western Metropolitan,-37.8646,144.827,
158,Altona,3,t,705000.0,13.8,3018.0,3.0,2.0,2.0,,Hobsons Bay,Western Metropolitan,-37.8579,144.8181,152.0
159,Altona,2,u,391000.0,13.8,3018.0,2.0,1.0,1.0,1965.0,Hobsons Bay,Western Metropolitan,-37.8678,144.8384,65.0
160,Altona,2,u,440000.0,13.8,3018.0,2.0,1.0,1.0,,Hobsons Bay,Western Metropolitan,-37.8659,144.83100000000005,
161,Altona,4,h,845000.0,13.8,3018.0,4.0,1.0,2.0,1950.0,Hobsons Bay,Western Metropolitan,-37.8658,144.8155,130.0
162,Altona,3,t,743000.0,13.8,3018.0,3.0,2.0,2.0,,Hobsons Bay,Western Metropolitan,-37.8698,144.816,176.0
163,Altona,3,u,730000.0,13.8,3018.0,3.0,2.0,1.0,2014.0,Hobsons Bay,Western Metropolitan,-37.868,144.8286,141.0
164,Altona,3,h,635000.0,13.8,3018.0,3.0,1.0,4.0,1960.0,Hobsons Bay,Western Metropolitan,-37.8611,144.8114,
165,Altona,2,u,620000.0,13.8,3018.0,2.0,1.0,1.0,,Hobsons Bay,Western Metropolitan,-37.8676,144.8202,
166,Altona,2,u,447000.0,13.8,3018.0,2.0,1.0,1.0,1990.0,Hobsons Bay,Western Metropolitan,-37.8655,144.8299,77.0
167,Altona,3,u,730000.0,13.8,3018.0,3.0,2.0,1.0,,Hobsons Bay,Western Metropolitan,-37.868,144.8287,
168,Altona,3,h,678000.0,13.8,3018.0,3.0,1.0,2.0,1950.0,Hobsons Bay,Western Metropolitan,-37.8608,144.8124,87.0
169,Altona,2,u,580000.0,13.8,3018.0,2.0,2.0,1.0,2013.0,Hobsons Bay,Western Metropolitan,-37.8687,144.8268,76.0
170,Altona,3,h,712000.0,13.8,3018.0,3.0,1.0,2.0,,Hobsons Bay,Western Metropolitan,-37.8674,144.8375,
171,Altona,3,h,840000.0,13.8,3018.0,3.0,2.0,2.0,1965.0,Hobsons Bay,Western Metropolitan,-37.86,144.8245,136.0
172,Altona,3,h,980000.0,13.8,3018.0,3.0,1.0,2.0,,Hobsons Bay,Western Metropolitan,-37.8672,144.817,
173,Altona,3,t,605100.0,13.8,3018.0,3.0,2.0,0.0,,Hobsons Bay,Western Metropolitan,-37.8583,144.8172,
174,Altona,3,h,880000.0,13.8,3018.0,3.0,3.0,1.0,,Hobsons Bay,Western Metropolitan,-37.8699,144.8235,
175,Altona,3,u,577000.0,13.8,3018.0,3.0,2.0,1.0,2007.0,Hobsons Bay,Western Metropolitan,-37.8684,144.815,113.0
176,Altona,4,h,1030000.0,13.8,3018.0,4.0,1.0,0.0,,Hobsons Bay,Western Metropolitan,-37.8663,144.8387,
177,Altona,3,u,605000.0,13.8,3018.0,3.0,1.0,2.0,,Hobsons Bay,Western Metropolitan,-37.8659,144.822,
178,Altona,3,h,753000.0,13.8,3018.0,3.0,2.0,2.0,,Hobsons Bay,Western Metropolitan,-37.8612,144.8247,
179,Altona,2,h,857000.0,13.8,3018.0,2.0,2.0,1.0,1950.0,Hobsons Bay,Western Metropolitan,-37.8653,144.8129,100.0
180,Altona,3,h,1500000.0,13.8,3018.0,3.0,1.0,1.0,,Hobsons Bay,Western Metropolitan,-37.8651,144.832,
181,Altona,3,u,730000.0,13.8,3018.0,3.0,2.0,1.0,2014.0,Hobsons Bay,Western Metropolitan,-37.868,144.8285,3.0
182,Altona,3,h,900000.0,13.8,3018.0,3.0,1.0,4.0,,Hobsons Bay,Western Metropolitan,-37.871,144.8075,
183,Altona,3,h,740000.0,13.8,3018.0,3.0,1.0,2.0,,Hobsons Bay,Western Metropolitan,-37.8631,144.8195,
184,Altona,4,h,931000.0,13.8,3018.0,4.0,2.0,3.0,1970.0,Hobsons Bay,Western Metropolitan,-37.8637,144.8365,
185,Altona,2,h,535600.0,13.8,3018.0,2.0,1.0,1.0,1996.0,Hobsons Bay,Western Metropolitan,-37.8646,144.8272,91.0
186,Altona North,5,h,1085000.0,11.1,3025.0,5.0,3.0,6.0,1965.0,Hobsons Bay,Western Metropolitan,-37.8388,144.8567,251.0
187,Altona North,3,h,781000.0,11.1,3025.0,3.0,1.0,2.0,1970.0,Hobsons Bay,Western Metropolitan,-37.8291,144.835,117.0
188,Altona North,3,h,750000.0,11.1,3025.0,3.0,1.0,3.0,,Hobsons Bay,Western Metropolitan,-37.8449,144.85,
189,Altona North,2,t,421000.0,11.1,3025.0,2.0,1.0,1.0,2009.0,Hobsons Bay,Western Metropolitan,-37.8351,144.8529,77.0
190,Altona North,3,h,1405000.0,11.1,3025.0,3.0,1.0,3.0,,Hobsons Bay,Western Metropolitan,-37.8338,144.8562,
191,Altona North,3,h,683000.0,11.1,3025.0,3.0,1.0,2.0,1967.0,Hobsons Bay,Western Metropolitan,-37.8284,144.8355,167.0
192,Altona North,3,h,623000.0,11.1,3025.0,3.0,1.0,3.0,,Hobsons Bay,Western Metropolitan,-37.8267,144.8368,
193,Altona North,3,h,720000.0,11.1,3025.0,3.0,2.0,1.0,2012.0,Hobsons Bay,Western Metropolitan,-37.8379,144.8583,130.0
194,Altona North,3,h,588000.0,11.1,3025.0,3.0,1.0,1.0,1970.0,Hobsons Bay,Western Metropolitan,-37.838,144.8555,118.0
